"genus","species","taxa"
"Amphispiza","bilineata","Bird"
"Ammodramus","savannarum","Bird"
"Campylorhynchus","brunneicapillus","Bird"
"Calamospiza","melanocorys","Bird"
"Callipepla","squamata","Bird"
"Crotalus","scutalatus","Reptile"
"Pipilo","chlorurus","Bird"
"Pooecetes","gramineus","Bird"
"Sylvilagus","audubonii","Rabbit"
"Sceloporus","undulatus","Reptile"
"Lizard","sp.","Reptile"
"Pipilo","sp.","Bird"
"Sparrow","sp.","Bird"
