"month","day","year"
3,31,1979
3,31,1979
3,31,1979
3,31,1979
3,31,1979
3,31,1979
4,28,1979
4,28,1979
4,28,1979
4,28,1979
4,28,1979
4,28,1979
4,28,1979
4,29,1979
4,29,1979
4,29,1979
4,29,1979
4,29,1979
4,29,1979
5,29,1979
5,29,1979
5,29,1979
5,29,1979
5,29,1979
5,29,1979
5,29,1979
5,29,1979
5,30,1979
5,30,1979
5,30,1979
5,30,1979
5,30,1979
7,3,1979
7,3,1979
7,3,1979
7,3,1979
7,3,1979
7,3,1979
7,3,1979
7,3,1979
7,4,1979
7,4,1979
7,4,1979
7,4,1979
7,4,1979
7,4,1979
7,24,1979
7,24,1979
7,25,1979
7,25,1979
7,25,1979
7,25,1979
7,26,1979
7,26,1979
7,26,1979
8,21,1979
8,21,1979
8,21,1979
8,22,1979
8,22,1979
8,22,1979
8,22,1979
8,23,1979
8,23,1979
8,23,1979
8,23,1979
8,23,1979
8,23,1979
9,22,1979
9,22,1979
9,22,1979
9,23,1979
9,23,1979
10,24,1979
10,24,1979
10,24,1979
10,24,1979
10,25,1979
10,25,1979
10,25,1979
11,17,1979
11,17,1979
11,18,1979
11,18,1979
11,18,1979
1,15,1980
1,15,1980
1,15,1980
1,16,1980
2,24,1980
2,24,1980
2,24,1980
2,24,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,21,1980
3,21,1980
3,21,1980
3,21,1980
3,21,1980
3,21,1980
3,21,1980
3,22,1980
3,22,1980
3,22,1980
3,22,1980
3,22,1980
3,22,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,18,1980
4,18,1980
4,18,1980
4,18,1980
4,18,1980
4,18,1980
4,18,1980
4,18,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,24,1980
5,24,1980
5,25,1980
5,25,1980
5,25,1980
5,25,1980
5,25,1980
5,25,1980
5,25,1980
6,2,1980
6,2,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,27,1980
7,21,1980
7,21,1980
7,21,1980
7,21,1980
7,21,1980
7,21,1980
7,21,1980
7,22,1980
7,22,1980
7,22,1980
7,22,1980
7,22,1980
8,13,1980
8,13,1980
8,13,1980
8,13,1980
8,13,1980
8,13,1980
8,13,1980
8,13,1980
8,14,1980
8,14,1980
8,14,1980
8,14,1980
8,14,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,8,1980
9,8,1980
9,8,1980
9,8,1980
9,8,1980
10,11,1980
10,11,1980
10,11,1980
10,11,1980
10,11,1980
10,12,1980
10,12,1980
10,12,1980
10,12,1980
10,12,1980
11,8,1980
11,8,1980
11,8,1980
11,8,1980
11,8,1980
11,8,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
12,15,1980
12,15,1980
12,15,1980
12,15,1980
12,15,1980
12,15,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
1,11,1981
1,11,1981
1,11,1981
1,11,1981
1,11,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,31,1981
1,31,1981
1,31,1981
1,31,1981
1,31,1981
2,1,1981
2,1,1981
2,1,1981
2,1,1981
2,1,1981
2,1,1981
2,1,1981
2,1,1981
3,8,1981
3,8,1981
3,8,1981
3,8,1981
3,8,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
5,3,1981
5,3,1981
5,3,1981
5,3,1981
5,3,1981
5,3,1981
5,3,1981
5,3,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,5,1981
6,5,1981
6,5,1981
6,5,1981
6,5,1981
6,5,1981
6,5,1981
6,5,1981
6,28,1981
7,7,1981
7,7,1981
7,7,1981
7,7,1981
7,7,1981
7,7,1981
7,7,1981
7,7,1981
7,8,1981
7,8,1981
7,8,1981
7,8,1981
7,8,1981
7,8,1981
7,8,1981
7,30,1981
7,30,1981
7,30,1981
7,30,1981
7,30,1981
7,31,1981
7,31,1981
7,31,1981
7,31,1981
8,30,1981
8,30,1981
8,30,1981
8,31,1981
8,31,1981
8,31,1981
9,29,1981
9,30,1981
9,30,1981
10,1,1981
10,1,1981
10,24,1981
10,25,1981
10,25,1981
10,26,1981
10,26,1981
10,26,1981
11,22,1981
11,22,1981
11,22,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
12,30,1981
12,30,1981
12,30,1981
12,31,1981
12,31,1981
12,31,1981
1,1,1982
1,1,1982
1,1,1982
1,1,1982
1,1,1982
1,24,1982
1,25,1982
1,25,1982
2,22,1982
2,22,1982
2,22,1982
2,22,1982
2,22,1982
2,23,1982
2,23,1982
2,23,1982
2,23,1982
2,23,1982
2,24,1982
2,24,1982
2,24,1982
2,24,1982
2,24,1982
2,24,1982
3,29,1982
3,29,1982
3,29,1982
3,29,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,26,1982
7,26,1982
7,26,1982
7,26,1982
7,26,1982
7,26,1982
7,26,1982
7,27,1982
7,27,1982
7,27,1982
7,27,1982
7,27,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
9,18,1982
9,18,1982
9,18,1982
9,18,1982
9,18,1982
9,18,1982
9,18,1982
9,18,1982
9,19,1982
9,19,1982
10,23,1982
10,23,1982
10,23,1982
10,23,1982
10,23,1982
10,23,1982
10,23,1982
10,23,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
11,21,1982
11,21,1982
11,21,1982
11,21,1982
11,21,1982
11,21,1982
11,22,1982
11,22,1982
11,22,1982
11,22,1982
11,22,1982
1,12,1983
1,12,1983
1,12,1983
1,12,1983
1,12,1983
1,12,1983
1,13,1983
1,13,1983
1,13,1983
2,26,1983
2,26,1983
2,27,1983
2,27,1983
2,27,1983
2,27,1983
2,27,1983
3,14,1983
3,14,1983
3,14,1983
3,14,1983
3,15,1983
3,15,1983
3,15,1983
3,15,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,17,1983
4,17,1983
4,17,1983
4,17,1983
4,17,1983
4,17,1983
4,17,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,15,1983
5,15,1983
5,15,1983
5,15,1983
5,15,1983
5,15,1983
5,15,1983
6,17,1983
6,17,1983
6,17,1983
6,17,1983
6,17,1983
6,17,1983
6,17,1983
6,17,1983
6,18,1983
6,18,1983
6,18,1983
6,18,1983
6,18,1983
6,18,1983
7,16,1983
7,16,1983
7,16,1983
7,16,1983
7,16,1983
7,16,1983
7,17,1983
7,17,1983
8,15,1983
8,15,1983
8,15,1983
8,15,1983
8,15,1983
8,15,1983
8,15,1983
8,16,1983
8,16,1983
8,16,1983
8,16,1983
8,16,1983
8,16,1983
9,10,1983
9,10,1983
9,10,1983
9,10,1983
9,10,1983
9,10,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
10,15,1983
10,15,1983
